Make,Model,Number.of.Engines,Injury.Severity,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,RiskScore
Stinson,108-3,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Piper,PA24-180,1.0,Fatal(4),4.0,0.0,0.0,0.0,40.0
Cessna,172M,1.0,Fatal(3),3.0,0.0,0.0,0.0,30.0
Rockwell,112,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Mcdonnell Douglas,DC9,2.0,Non-Fatal,0.0,0.0,1.0,44.0,2.0
Cessna,180,1.0,Fatal(4),4.0,0.0,0.0,0.0,40.0
Cessna,140,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,401B,2.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
North American,NAVION L-17B,1.0,Non-Fatal,0.0,0.0,3.0,0.0,6.0
Piper,PA-28-161,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Beech,V35B,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Bellanca,17-30A,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Cessna,R172K,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Navion,A,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Beech,19,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Enstrom,280C,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,180,1.0,Fatal(3),3.0,0.0,0.0,0.0,30.0
Cessna,172,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Smith,WCS-222 (BELL 47G),1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,150L,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Bell,206L-1,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-24-180,1.0,Incident,0.0,0.0,0.0,1.0,0.0
Grumman,AA-5B,1.0,Fatal(2),2.0,1.0,0.0,0.0,25.0
Cessna,414A,2.0,Fatal(8),8.0,0.0,0.0,0.0,80.0
Beechcraft,BE-58,2.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Maule,M-5-235C,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,210L,1.0,Non-Fatal,0.0,0.0,1.0,1.0,2.0
Bellanca,7GCBC,1.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Cessna,182,1.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Air Tractor,AT-301,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-28-161,1.0,Fatal(4),4.0,0.0,0.0,0.0,40.0
Piper,PA-34-200T,2.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Cessna,T337G,2.0,Fatal(2),2.0,2.0,0.0,0.0,30.0
Piper,PA-28R-200,1.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Cessna,206,1.0,Fatal(1),1.0,0.0,1.0,0.0,12.0
Navion,A,1.0,Fatal(3),3.0,0.0,0.0,0.0,30.0
Piper,PA-22,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Piper,PA-31,2.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Rockwell,114,1.0,Incident,0.0,0.0,0.0,1.0,0.0
Piper,PA-24-250,1.0,Non-Fatal,0.0,1.0,0.0,1.0,5.0
Piper,PA-28R-200,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,TR182,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,A185F,1.0,Non-Fatal,0.0,2.0,0.0,0.0,10.0
Cessna,340,2.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Aerospatiale,SA-316B,1.0,Non-Fatal,0.0,0.0,0.0,6.0,0.0
Beech,35,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Mooney,M-20J,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Boeing,A75,1.0,Non-Fatal,0.0,1.0,0.0,1.0,5.0
Cessna,210,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Beech,V35,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Curtis,C46,2.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Cessna,172M,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Piper,PA-28-140,1.0,Fatal(1),1.0,1.0,0.0,0.0,15.0
Cessna,TU206G,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-24-250,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,172N,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Schleicher,ASW 20,0.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,P210N,1.0,Non-Fatal,0.0,1.0,0.0,3.0,5.0
Cessna,172,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Piper,PA-34,2.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Cessna,305 (L-19),1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,182A,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-23-250,2.0,Non-Fatal,0.0,2.0,0.0,0.0,10.0
Cessna,172N,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Piper,23-250,2.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Mooney,M20G,1.0,Fatal(1),1.0,1.0,0.0,0.0,15.0
Cessna,TU206F,1.0,Non-Fatal,0.0,0.0,4.0,0.0,8.0
Quickie,1,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,U206,1.0,Non-Fatal,0.0,0.0,3.0,0.0,6.0
Piper,PA-28-140,1.0,Non-Fatal,0.0,1.0,1.0,0.0,7.0
Cessna,210N,1.0,Fatal(4),4.0,1.0,1.0,0.0,47.0
Cessna,180,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,310L,2.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Lockheed,L-1011,3.0,Incident,0.0,0.0,0.0,149.0,0.0
Embraer,EMB-110P1,2.0,Incident,0.0,0.0,0.0,2.0,0.0
Cessna,414,2.0,Non-Fatal,0.0,0.0,3.0,0.0,6.0
Beech,P35,1.0,Non-Fatal,0.0,1.0,0.0,1.0,5.0
Grumman,AA5B,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Boeing,737-222,2.0,Fatal(78),78.0,6.0,3.0,0.0,816.0
Piper,PA-28R-201T,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Beech,A23-24,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Piper,PA-31-350,2.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,T210N,1.0,Fatal(3),3.0,0.0,0.0,0.0,30.0
Cessna,310,2.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,172,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Hughes,269C,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,140,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Swearingen,SA 226-TC,2.0,Non-Fatal,0.0,1.0,2.0,12.0,9.0
Beech,C-45H,2.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
De Havilland,DHC-2-MK3,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Bell Helicopter,206L-1,1.0,Fatal(1),1.0,2.0,0.0,0.0,20.0
Cessna,150M,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,150M,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Bede Aircraft,BD-5B,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Cessna,182P,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Convair,440,2.0,Non-Fatal,0.0,0.0,2.0,1.0,4.0
Piper,PA-31,2.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Piper,PA-31T,2.0,Non-Fatal,0.0,0.0,3.0,0.0,6.0
Beech,F50,2.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Cessna,150,1.0,Non-Fatal,0.0,0.0,1.0,1.0,2.0
Cessna,180E,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,170B,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Bell,206B,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Beech,C23,1.0,Non-Fatal,0.0,2.0,2.0,0.0,14.0
Cessna,172M,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Piper,PA-28-180,1.0,Fatal(3),3.0,0.0,0.0,0.0,30.0
Cessna,180K,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,210L,1.0,Fatal(4),4.0,0.0,0.0,0.0,40.0
Mooney,M20F,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Beech,G35,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Cessna,177B,1.0,Fatal(1),1.0,2.0,0.0,0.0,20.0
Grumman,AA5A,1.0,Fatal(3),3.0,0.0,0.0,0.0,30.0
Swearingen,SA226-T(B),2.0,Fatal(3),3.0,0.0,0.0,0.0,30.0
De Havilland,DHC-6-300,2.0,Incident,0.0,0.0,0.0,1.0,0.0
Piper,AEROSTAR 601P,2.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,182P,1.0,Non-Fatal,0.0,0.0,1.0,1.0,2.0
Cessna,177RG,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Beachner,QUICK SILVER,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Cessna,182E,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,150H,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,340A,2.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Piper,PA-38-112,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Canadair,CL-44D4,4.0,Non-Fatal,0.0,0.0,0.0,6.0,0.0
Piper,PA-32,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Piper,PA-31-350,2.0,Incident,0.0,0.0,0.0,2.0,0.0
Beech,58,2.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Cessna,182N,1.0,Fatal(3),3.0,0.0,0.0,0.0,30.0
Piper,PA-23-250,2.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Cessna,210,1.0,Fatal(1),1.0,0.0,0.0,1.0,10.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Hughes,269C,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,P210N,1.0,Fatal(4),4.0,0.0,0.0,0.0,40.0
Cessna,402A,2.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Douglas,DC-3,2.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Piper,PA-23-250,2.0,Non-Fatal,0.0,1.0,2.0,0.0,9.0
Piper,PA-28-235,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Grumman,AA-1,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Piper,PA-32,1.0,Non-Fatal,0.0,1.0,3.0,0.0,11.0
Cessna,207,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Mooney,M-20,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Air Tractor,301,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Sons Mustang,II,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Dassault/sud,FALCON 20,2.0,Incident,0.0,0.0,0.0,2.0,0.0
Cessna,172M,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Sikorsky,S-58J,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,172,1.0,Fatal(1),1.0,1.0,0.0,0.0,15.0
Mooney,M20C,1.0,Fatal(2),2.0,0.0,4.0,0.0,28.0
Grumman,G-164A,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Mcdonnell Douglas,DC-10-30,3.0,Fatal(2),2.0,4.0,24.0,182.0,88.0
Beech,A23A,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Piper,PA-32-300,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,150M,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Piper,PA-34-200T,2.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Piper,PA-28-235,1.0,Fatal(2),2.0,0.0,4.0,0.0,28.0
Cessna,150H,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Bell/textron,206 L-1,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Bell,47G-2,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-38-112,1.0,Non-Fatal,0.0,0.0,1.0,1.0,2.0
Robertson,C-402B,2.0,Fatal(7),7.0,0.0,0.0,0.0,70.0
Cessna,172,1.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Cessna,172,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Cessna,172RG,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,177,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,182M,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Cessna,152II,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Cessna,A188B,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Piper,PA-28-140,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,172N,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Bellanca,7GCBC,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Hughes,369D,1.0,Non-Fatal,0.0,0.0,2.0,2.0,4.0
Bell,UH1B,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,172N,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Aeronca,7BCM,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-38-112,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Piper,28-151,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Cessna,340A,2.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,172H,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Mooney,M20C,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,A185F,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Piper,PA-32-260,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,172N,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Beech,B200,2.0,Incident,0.0,0.0,0.0,2.0,0.0
Cessna,150,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Cessna,172,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Piper,PA-28R-201T,1.0,Incident,0.0,0.0,0.0,1.0,0.0
Mooney,M20J,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Cessna,TR182,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Aeronca,7AC,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,177B,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,172,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Cessna,140,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,172,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,182L,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,172N,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Cessna,172P,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Piper,PA-22,1.0,Non-Fatal,0.0,0.0,1.0,1.0,2.0
Cessna,150L,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Beech,36,1.0,Non-Fatal,0.0,1.0,0.0,1.0,5.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Piper,PA-28-161,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,180K,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-22,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Beech,99,2.0,Non-Fatal,0.0,5.0,2.0,0.0,29.0
Cessna,172,1.0,Non-Fatal,0.0,1.0,1.0,0.0,7.0
Aerospatiale,SA-360C,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Cessna,182,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Bellanca,7ECA,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,TR182,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,P206,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Grumman,1159,2.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Piper,PA-32,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Piper,PA-23-250,2.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Cessna,150G,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Cessna,U206G,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,T210N,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Smith Miniplane,BK-1,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Mooney,M20J,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Mitsubishi,MU2B-40,2.0,Non-Fatal,0.0,0.0,6.0,0.0,12.0
Mcdonnell-douglas,DC-10-10,3.0,Non-Fatal,0.0,1.0,0.0,154.0,5.0
Cessna,150J,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Taylorcraft,F19,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Bell,206L-1,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Ted Smith,AEROSTAR 600,2.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Robinson,R-22,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Bellanca,7KCAB,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Bell,206L-1,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-28,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Piper,PA-32R-300,1.0,Fatal(4),4.0,0.0,0.0,0.0,40.0
Piper,PA-28-140,1.0,Non-Fatal,0.0,1.0,1.0,0.0,7.0
Cessna,T210L,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Boeing,A75N1,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Piper,PA-31,2.0,Non-Fatal,0.0,2.0,0.0,0.0,10.0
Bellanca,7KCAB,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Taylorcraft,BC12-D,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Piper,PA-28-140,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Raven,S-55A,0.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,180,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Piper,PA-28-181,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Ercoupe,415-C,2.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,182H,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,150,1.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Piper,PA-24-180,1.0,Fatal(8),8.0,0.0,0.0,0.0,80.0
Cessna,182B,1.0,Fatal(8),8.0,0.0,0.0,0.0,80.0
Piper,PA-28-140,1.0,Non-Fatal,0.0,4.0,0.0,0.0,20.0
Cessna,P210N,1.0,Fatal(4),4.0,0.0,0.0,0.0,40.0
Rockwell Comdr,112TCA,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Piper,PA-28-180,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Bellanca,7KCAB,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,172N,1.0,Non-Fatal,0.0,0.0,0.0,5.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-38,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,177RG,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,172,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,172,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,172N,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Cessna,C-172,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Piper,PA-18A-150,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-28R-201,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Piper,PA-28-161,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Cessna,182P,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Cessna,140,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Beech,C-23,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-38-112,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Beech,V35A,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Beech,200,2.0,Incident,0.0,0.0,0.0,10.0,0.0
Cessna,310R,2.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,172,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,402B,2.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,185,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,310,2.0,Non-Fatal,0.0,2.0,0.0,0.0,10.0
Beech,95-C55,2.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Cessna,172K,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,421B,2.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,401,2.0,Non-Fatal,0.0,0.0,0.0,5.0,0.0
Sikorsky,UH-19B,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,421,2.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Grumman,G-164B,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-60-602P,2.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
De Havilland,DHC-6-100,2.0,Incident,0.0,0.0,0.0,7.0,0.0
Piper,PA-24-250,1.0,Non-Fatal,0.0,4.0,0.0,0.0,20.0
Howard Aircraft Corp.,500,2.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Cessna,172K,1.0,Fatal(4),4.0,0.0,0.0,0.0,40.0
Piper,PA-34,2.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Rockwell,112A,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Beech,J35,1.0,Fatal(4),4.0,0.0,0.0,0.0,40.0
Cessna,150,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Aeronca,7AC,1.0,Non-Fatal,0.0,0.0,1.0,1.0,2.0
Cessna,172,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Piper,PA-18,1.0,Non-Fatal,0.0,0.0,1.0,1.0,2.0
Cessna,150,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Aeronca,7EC,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Bell,214B-1,1.0,Fatal(1),1.0,1.0,0.0,0.0,15.0
Cessna,150,1.0,Non-Fatal,0.0,2.0,0.0,0.0,10.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Bellanca,17-30A,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Cessna,150,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-28-140,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-38-112,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Piper,PA-28-161,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Cessna,172N,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Porterfield,CP-65,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Piper,PA-28-161,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Boeing,B737-2H4,2.0,Incident,0.0,0.0,0.0,119.0,0.0
Cessna,310D,2.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Piper,PA-23,2.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Mooney,M20J,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-28-151,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-28-151,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,152(II),1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Beech,35,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-28R-180,1.0,Non-Fatal,0.0,1.0,2.0,0.0,9.0
Cessna,150M,1.0,Non-Fatal,0.0,0.0,1.0,1.0,2.0
Bellanca,8GCBC,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Piper,PA-31-310,2.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,172,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-31T2,2.0,Fatal(8),8.0,0.0,0.0,0.0,80.0
Beech,90,2.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Nihon,YS-11A,2.0,Non-Fatal,0.0,0.0,3.0,36.0,6.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,172M,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Piper,PA-28RT-201T,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Bellanca,7ECA,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
